Epoch [69/300] (Validation), Loss: 2.1057, Accuracy: 0.6866, Precision: 0.6762, Recall: 0.6866, F1-Score: 0.6662
Epoch [70/300] (Training), Loss: 1.9519, Accuracy: 0.8783, Precision: 0.8581, Recall: 0.8783, F1-Score: 0.8627
Epoch [70/300] (Validation), Loss: 2.0980, Accuracy: 0.7090, Precision: 0.6957, Recall: 0.7090, F1-Score: 0.6878
Epoch [71/300] (Training), Loss: 1.9461, Accuracy: 0.8878, Precision: 0.8679, Recall: 0.8878, F1-Score: 0.8715
Epoch [71/300] (Validation), Loss: 2.1065, Accuracy: 0.7164, Precision: 0.7158, Recall: 0.7164, F1-Score: 0.6976
Epoch [72/300] (Training), Loss: 1.9467, Accuracy: 0.8902, Precision: 0.8689, Recall: 0.8902, F1-Score: 0.8735
Epoch [72/300] (Validation), Loss: 2.0995, Accuracy: 0.7164, Precision: 0.7129, Recall: 0.7164, F1-Score: 0.7014
Epoch [73/300] (Training), Loss: 1.9413, Accuracy: 0.8998, Precision: 0.8797, Recall: 0.8998, F1-Score: 0.8835
Epoch [73/300] (Validation), Loss: 2.1019, Accuracy: 0.6866, Precision: 0.6782, Recall: 0.6866, F1-Score: 0.6672
Epoch [74/300] (Training), Loss: 1.9439, Accuracy: 0.8950, Precision: 0.8726, Recall: 0.8950, F1-Score: 0.8790
Epoch [74/300] (Validation), Loss: 2.1030, Accuracy: 0.7015, Precision: 0.6972, Recall: 0.7015, F1-Score: 0.6878
Epoch [75/300] (Training), Loss: 1.9459, Accuracy: 0.8902, Precision: 0.8717, Recall: 0.8902, F1-Score: 0.8748
Epoch [75/300] (Validation), Loss: 2.1007, Accuracy: 0.6940, Precision: 0.6856, Recall: 0.6940, F1-Score: 0.6754
Epoch [76/300] (Training), Loss: 1.9418, Accuracy: 0.8998, Precision: 0.8761, Recall: 0.8998, F1-Score: 0.8829
Epoch [76/300] (Validation), Loss: 2.0961, Accuracy: 0.7015, Precision: 0.6981, Recall: 0.7015, F1-Score: 0.6864
Epoch [77/300] (Training), Loss: 1.9387, Accuracy: 0.8926, Precision: 0.8736, Recall: 0.8926, F1-Score: 0.8762
Epoch [77/300] (Validation), Loss: 2.0975, Accuracy: 0.7090, Precision: 0.6995, Recall: 0.7090, F1-Score: 0.6882
Epoch [78/300] (Training), Loss: 1.9385, Accuracy: 0.9069, Precision: 0.8844, Recall: 0.9069, F1-Score: 0.8907
Epoch [78/300] (Validation), Loss: 2.0979, Accuracy: 0.7313, Precision: 0.7344, Recall: 0.7313, F1-Score: 0.7155
Epoch [79/300] (Training), Loss: 1.9388, Accuracy: 0.8783, Precision: 0.8581, Recall: 0.8783, F1-Score: 0.8616
Epoch [79/300] (Validation), Loss: 2.0951, Accuracy: 0.7090, Precision: 0.7026, Recall: 0.7090, F1-Score: 0.6941
Epoch [80/300] (Training), Loss: 1.9352, Accuracy: 0.9141, Precision: 0.8910, Recall: 0.9141, F1-Score: 0.8980
Epoch [80/300] (Validation), Loss: 2.1002, Accuracy: 0.7015, Precision: 0.6818, Recall: 0.7015, F1-Score: 0.6762
Epoch [81/300] (Training), Loss: 1.9434, Accuracy: 0.8974, Precision: 0.8757, Recall: 0.8974, F1-Score: 0.8810
Epoch [81/300] (Validation), Loss: 2.1025, Accuracy: 0.6940, Precision: 0.6777, Recall: 0.6940, F1-Score: 0.6712
Epoch [82/300] (Training), Loss: 1.9432, Accuracy: 0.8974, Precision: 0.8735, Recall: 0.8974, F1-Score: 0.8803
Epoch [82/300] (Validation), Loss: 2.1004, Accuracy: 0.6940, Precision: 0.6799, Recall: 0.6940, F1-Score: 0.6709
Epoch [83/300] (Training), Loss: 1.9350, Accuracy: 0.8974, Precision: 0.8747, Recall: 0.8974, F1-Score: 0.8812
Epoch [83/300] (Validation), Loss: 2.0868, Accuracy: 0.7388, Precision: 0.7368, Recall: 0.7388, F1-Score: 0.7199
Epoch [84/300] (Training), Loss: 1.9300, Accuracy: 0.9141, Precision: 0.8910, Recall: 0.9141, F1-Score: 0.8975
Epoch [84/300] (Validation), Loss: 2.0961, Accuracy: 0.7388, Precision: 0.7366, Recall: 0.7388, F1-Score: 0.7259
Epoch [85/300] (Training), Loss: 1.9331, Accuracy: 0.9093, Precision: 0.8879, Recall: 0.9093, F1-Score: 0.8939
Epoch [85/300] (Validation), Loss: 2.0890, Accuracy: 0.7164, Precision: 0.7163, Recall: 0.7164, F1-Score: 0.7020
Epoch [86/300] (Training), Loss: 1.9289, Accuracy: 0.9093, Precision: 0.8886, Recall: 0.9093, F1-Score: 0.8928
Epoch [86/300] (Validation), Loss: 2.0883, Accuracy: 0.7239, Precision: 0.7157, Recall: 0.7239, F1-Score: 0.7054
Epoch [87/300] (Training), Loss: 1.9290, Accuracy: 0.9117, Precision: 0.8888, Recall: 0.9117, F1-Score: 0.8952
Epoch [87/300] (Validation), Loss: 2.0893, Accuracy: 0.7239, Precision: 0.7190, Recall: 0.7239, F1-Score: 0.7093
Epoch [88/300] (Training), Loss: 1.9275, Accuracy: 0.9021, Precision: 0.8822, Recall: 0.9021, F1-Score: 0.8859
Epoch [88/300] (Validation), Loss: 2.1005, Accuracy: 0.6940, Precision: 0.7008, Recall: 0.6940, F1-Score: 0.6805
Epoch [89/300] (Training), Loss: 1.9416, Accuracy: 0.8926, Precision: 0.8708, Recall: 0.8926, F1-Score: 0.8761
Epoch [89/300] (Validation), Loss: 2.0935, Accuracy: 0.7164, Precision: 0.7220, Recall: 0.7164, F1-Score: 0.7061
Epoch [90/300] (Training), Loss: 1.9351, Accuracy: 0.8878, Precision: 0.8627, Recall: 0.8878, F1-Score: 0.8710
Epoch [90/300] (Validation), Loss: 2.0951, Accuracy: 0.7015, Precision: 0.6882, Recall: 0.7015, F1-Score: 0.6805
Epoch [91/300] (Training), Loss: 1.9269, Accuracy: 0.9141, Precision: 0.8899, Recall: 0.9141, F1-Score: 0.8977
Epoch [91/300] (Validation), Loss: 2.0937, Accuracy: 0.7239, Precision: 0.7192, Recall: 0.7239, F1-Score: 0.7041
Epoch [92/300] (Training), Loss: 1.9242, Accuracy: 0.9141, Precision: 0.8909, Recall: 0.9141, F1-Score: 0.8980
Epoch [92/300] (Validation), Loss: 2.0861, Accuracy: 0.7164, Precision: 0.7159, Recall: 0.7164, F1-Score: 0.7039
Epoch [93/300] (Training), Loss: 1.9233, Accuracy: 0.9189, Precision: 0.8947, Recall: 0.9189, F1-Score: 0.9025
Epoch [93/300] (Validation), Loss: 2.0958, Accuracy: 0.6940, Precision: 0.6938, Recall: 0.6940, F1-Score: 0.6776
Epoch [94/300] (Training), Loss: 1.9256, Accuracy: 0.9045, Precision: 0.8831, Recall: 0.9045, F1-Score: 0.8881
Epoch [94/300] (Validation), Loss: 2.0913, Accuracy: 0.7164, Precision: 0.7058, Recall: 0.7164, F1-Score: 0.6979
Epoch [95/300] (Training), Loss: 1.9193, Accuracy: 0.9165, Precision: 0.8919, Recall: 0.9165, F1-Score: 0.9000
Epoch [95/300] (Validation), Loss: 2.0849, Accuracy: 0.7239, Precision: 0.7218, Recall: 0.7239, F1-Score: 0.7093
Epoch [96/300] (Training), Loss: 1.9194, Accuracy: 0.9141, Precision: 0.8915, Recall: 0.9141, F1-Score: 0.8977
Epoch [96/300] (Validation), Loss: 2.0857, Accuracy: 0.7388, Precision: 0.7427, Recall: 0.7388, F1-Score: 0.7197
Epoch [97/300] (Training), Loss: 1.9189, Accuracy: 0.9212, Precision: 0.8985, Recall: 0.9212, F1-Score: 0.9052
Epoch [97/300] (Validation), Loss: 2.0861, Accuracy: 0.7313, Precision: 0.7193, Recall: 0.7313, F1-Score: 0.7127
Epoch [98/300] (Training), Loss: 1.9217, Accuracy: 0.9189, Precision: 0.8969, Recall: 0.9189, F1-Score: 0.9029
Epoch [98/300] (Validation), Loss: 2.0937, Accuracy: 0.6940, Precision: 0.7141, Recall: 0.6940, F1-Score: 0.6861
Epoch [99/300] (Training), Loss: 1.9279, Accuracy: 0.9093, Precision: 0.8856, Recall: 0.9093, F1-Score: 0.8932
Epoch [99/300] (Validation), Loss: 2.0855, Accuracy: 0.7388, Precision: 0.7311, Recall: 0.7388, F1-Score: 0.7204
Epoch [100/300] (Training), Loss: 1.9174, Accuracy: 0.9165, Precision: 0.8919, Recall: 0.9165, F1-Score: 0.8997
Epoch [100/300] (Validation), Loss: 2.0739, Accuracy: 0.7388, Precision: 0.7379, Recall: 0.7388, F1-Score: 0.7256
Epoch [101/300] (Training), Loss: 1.9155, Accuracy: 0.9260, Precision: 0.9022, Recall: 0.9260, F1-Score: 0.9099
Epoch [101/300] (Validation), Loss: 2.0867, Accuracy: 0.7239, Precision: 0.7132, Recall: 0.7239, F1-Score: 0.7038
Epoch [102/300] (Training), Loss: 1.9181, Accuracy: 0.9165, Precision: 0.8925, Recall: 0.9165, F1-Score: 0.9001
Epoch [102/300] (Validation), Loss: 2.0869, Accuracy: 0.7388, Precision: 0.7328, Recall: 0.7388, F1-Score: 0.7220
Epoch [103/300] (Training), Loss: 1.9167, Accuracy: 0.9165, Precision: 0.8937, Recall: 0.9165, F1-Score: 0.9004
Epoch [103/300] (Validation), Loss: 2.0865, Accuracy: 0.7313, Precision: 0.7366, Recall: 0.7313, F1-Score: 0.7145
Epoch [104/300] (Training), Loss: 1.9170, Accuracy: 0.9093, Precision: 0.8875, Recall: 0.9093, F1-Score: 0.8931
